City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Luangwa,ZM,71.96,light rain,-15.6167,30.4167,Gerasimos Safari Lodge
437,Road Town,VG,80.6,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
439,Bowen,AU,78.8,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
446,Edea,CM,82.4,broken clouds,3.8,10.1333,Micotel Hotel
452,Namatanai,PG,81.27,overcast clouds,-3.6667,152.4333,Namatanai Hotel
453,Katherine,AU,80.6,broken clouds,-14.4667,132.2667,Pine Tree Motel
461,Santa Rosa,PH,75.2,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
464,Rio Gallegos,AR,71.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
466,Cayenne,GF,78.8,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
467,Mbekenyera,TZ,71.1,scattered clouds,-10.0,38.9833,
469,Caranavi,BO,71.64,moderate rain,-15.8167,-67.55,Hotel Landivar
470,Gigmoto,PH,78.3,moderate rain,13.7796,124.39,Cj's Travellers Inn
475,Panubigan,PH,78.66,overcast clouds,7.4281,123.3466,Parish Beach
480,Jacareacanga,BR,77.88,moderate rain,-6.2222,-57.7528,Casa do Ian😎
482,Maragogi,BR,79.16,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
484,San Clemente,US,73.99,clear sky,33.427,-117.61200000000001,Casablanca Inn
490,Harper,LR,78.84,broken clouds,4.375,-7.7169,Screensaver
491,Bouna,CI,77.2,scattered clouds,9.2667,-3.0,Hotel Reserve
505,Sao Paulo De Olivenca,BR,75.78,moderate rain,-3.3783,-68.8725,
506,Pandan,PH,78.58,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
507,Kalangala,UG,74.37,broken clouds,-0.3089,32.225,Ssese Habitat Resort
509,Zorgo,BF,75.0,clear sky,12.2489,-0.6158,Auberge Peng-Wende De Zorgho
511,Hobyo,SO,75.74,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
514,Samarai,PG,83.5,light rain,-10.6167,150.6667,Nuli Sapi
517,Alta Gracia,AR,80.01,broken clouds,-31.6529,-64.4283,Hotel Ritz
519,Ulladulla,AU,78.01,clear sky,-35.35,150.4667,Sandpiper Motel
524,Kudahuvadhoo,MV,81.54,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
529,Dingle,PH,75.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
534,Ghanzi,BW,75.72,light rain,-21.5667,21.7833,Ghanzi Farmhouse
535,Thinadhoo,MV,82.0,overcast clouds,0.5333,72.9333,
537,Praya,CV,71.6,broken clouds,14.9215,-23.5087,LT Aparthotel
538,Ternate,ID,81.0,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
540,Porto Velho,BR,78.8,heavy intensity rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
544,Puerto Baquerizo Moreno,EC,80.6,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
549,Mana,GF,79.29,broken clouds,5.6592,-53.7767,LE SAMANA
553,Gourcy,BF,74.5,clear sky,13.2167,-2.35,Auberge Gourcy
556,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
559,Port Hueneme,US,78.8,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
560,Acarau,BR,80.35,overcast clouds,-2.8856,-40.12,castelo pizzaria
564,Santa Ines,BR,78.17,overcast clouds,-3.6667,-45.38,HOTEL TOP
566,Phalaborwa,ZA,77.0,light rain,-23.943,31.1411,Bothabelo B&B
568,Boca Do Acre,BR,81.88,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
570,Epe,NG,79.23,clear sky,6.5841,3.9834,MAGVILLE HOTEL
573,Trairi,BR,79.32,scattered clouds,-3.2778,-39.2689,janelas do mar
574,Pitimbu,BR,80.6,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
576,Marsh Harbour,BS,73.02,broken clouds,26.5412,-77.0636,Abaco Beach Resort
577,Tsiroanomandidy,MG,70.29,light rain,-18.7667,46.0333,
580,Barreirinhas,BR,78.76,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
589,Abancay,PE,71.06,light rain,-13.6339,-72.8814,Siball Hotel
590,San Luis,AR,80.13,broken clouds,-33.295,-66.3356,Huarpes Hotel
595,Chake Chake,TZ,76.95,clear sky,-5.2459,39.7666,Hotel Archipelago
598,Muswellbrook,AU,73.0,heavy intensity rain,-32.2667,150.9,Wayfarer Motel
603,Iaciara,BR,75.27,broken clouds,-14.0958,-46.6317,Hotel Matinha
605,Inirida,CO,81.0,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
618,Minna,NG,76.46,clear sky,9.6139,6.5569,Royal Park hotel & suites
619,Bac Lieu,VN,70.84,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
620,San Vicente,AR,77.99,light rain,-26.6167,-54.1333,Complejo Turístico Farelluk
623,Bambanglipuro,ID,76.87,overcast clouds,-7.95,110.2833,Puri Brata
628,Paragominas,BR,74.91,heavy intensity rain,-2.9667,-47.4833,.
630,Richards Bay,ZA,74.55,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
633,Sabang,ID,80.78,overcast clouds,5.8933,95.3214,Hotel Citra
634,Chokwe,MZ,75.88,clear sky,-24.5333,32.9833,Complexo Sonho Real
635,San-Pedro,CI,77.63,light rain,4.7485,-6.6363,Hotel Maria
636,Bandarbeyla,SO,72.95,few clouds,9.4942,50.8122,JABIR HOTEL
638,Huarmey,PE,74.64,broken clouds,-10.0681,-78.1522,Hotel Miramar
640,Mitu,CO,79.18,moderate rain,1.1983,-70.1733,
642,Alappuzha,IN,75.34,light rain,9.49,76.3264,Panoramic Sea Resort
643,Cabedelo,BR,80.6,broken clouds,-6.9811,-34.8339,Lua Mansa Pousada
645,Boyolangu,ID,75.61,light rain,-8.1181,111.8935,Yos ega cv
646,Mogadishu,SO,76.19,scattered clouds,2.0371,45.3438,Hotel Juba
649,Yaan,NG,80.01,clear sky,7.3833,8.5667,
651,Kendari,ID,76.12,light rain,-3.945,122.4989,Hotel Wixel
659,Lahad Datu,MY,75.9,overcast clouds,5.0268,118.32700000000001,The 27th House
663,Denpasar,ID,80.6,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
664,Acandi,CO,81.52,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
665,Marovoay,MG,82.4,few clouds,-16.1,46.6333,
670,Manaus,BR,80.6,moderate rain,-3.1019,-60.025,Hotel do Largo
673,Ndende,GA,70.63,light rain,-2.4008,11.3581,
674,Byron Bay,AU,71.6,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
675,Arinos,BR,75.49,broken clouds,-15.9169,-46.1056,casa do bruno
677,Soubre,CI,74.98,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
678,Patrocinio,BR,77.0,moderate rain,-18.9439,-46.9925,Guines Palace Hotel 34-99816-3311
681,Grand Gaube,MU,78.01,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
683,Vryburg,ZA,73.67,light rain,-26.9566,24.7284,Times Premier Lodge
684,Cap Malheureux,MU,78.01,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
685,Kisangani,CD,74.05,overcast clouds,0.5167,25.2,Grand Ramela Hotel
687,Mbabane,SZ,77.0,light rain,-26.3167,31.1333,Mountain Inn
689,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
690,Nanakuli,US,82.4,clear sky,21.3906,-158.1547,Camp Pālehua
695,Tabou,CI,78.22,moderate rain,4.423,-7.3528,hotêl doufoulougou
700,Bibiani,GH,72.84,scattered clouds,6.4635,-2.3194,Rodick Hotel
